id,SimplifiedName,TraditionalName,PinyinName,CategoryName,EnglishName_1,EnglishName_2,EnglishName_3,EnglishInterpretation,sort_id,CategoryCode
4946,里证,裏證,lǐ zhèng,八纲辨证,interior pattern/ syndrome,interior pattern,interior syndrome/pattern,"a general term for patterns/syndromes that indicate the existence of disease in the interior of the body such as bowels and viscera, qi and blood, or bone marrow",19,360.1014g
4947,热证,熱證,rè zhèng,八纲辨证,heat pattern/ syndrome,heat pattern/syndrome,heat syndrome/pattern,"a general term for patterns/syndromes resulting either from attack of external heat or from prevalence of yang qi, usually manifested by fever, aversion to heat and liking for cold, thirst, flushed face, irritability and vexation, thick yellow sputum and nasal mucus, short voidings of dark-colored urine, constipation, reddened tongue with yellow coating, and rapid pulse",19,360.1014g
4948,上寒下热证,上寒下熱證,shàng hán xià rè zhèng,八纲辨证,upper cold and lower heat pattern/ syndrome,upper cold and lower heat,syndrome/pattern of upper cold and lower heat,any pattern/syndrome with cold symptoms in the upper part of the body and heat symptoms in the lower,19,360.1014g
4949,上热下寒证,上熱下寒證,shàng rè xià hán zhèng,八纲辨证,upper heat and lower cold pattern/ syndrome,upper heat and lower cold,syndrome/pattern of upper heat and lower cold,any pattern/syndrome with heat symptoms in the upper part of the body and cold symptoms in the lower,19,360.1014g
4950,实证,實證,shí zhèng,八纲辨证,excess pattern/ syndrome,excess pattern/syndrome,excess syndrome/pattern,"a general term for patterns/syndromes caused by external pathogenic factors such as six excesses, pestilential pathogens, worms and toxins, or by accumulated pathological products due to dysfunction of internal organs, such as phlegm, retained fluid, water, dampness, pus, static blood and retained food",19,360.1014g
4951,暑湿袭表证,暑濕襲表證,shǔ shī xí biǎo zhèng,八纲辨证,pattern/syndrome of summerheat-dampness assailing the exterior,summerheat-damp attacking the exterior,syndrome/pattern of summerheat-dampness attacking exterior,"a pattern/syndrome resulting from summerheat-dampness attacking the exterior part of the body, manifested by fever, slight aversion to wind and cold, fatigued and cumbersome body, heavy head as if swathed, grimy face, thirst and vexation, reddened tongue with yellow slimy coating and rapid soggy pulse",19,360.1014g
4952,外寒里热证,外寒裏熱證,wài hán lǐ rè zhèng,八纲辨证,0,external cold and internal heat syndrome,syndrome/pattern of external cold and internal heat,0,19,360.1014g
4953,亡阳证,亡陽證,wáng yáng zhèng,八纲辨证,0,yang collapse,yang collapse syndrome/ pattern,0,19,360.1014g
4954,亡阴证,亡陰證,wáng yīn zhèng,八纲辨证,yin collapse pattern/ syndrome,yin collapse,yin collapse syndrome/ pattern,"a serious pattern/syndrome resulting from exhaustion of yin fluid, manifested by thirst and craving for cold drink, flushed face, restlessness, dry tongue and rapid fine pulse",19,360.1014g
4955,虚实辨证,虛實辨證,xū shí biàn zhèng,八纲辨证,D eficiency- Excess Pattern Identification/ Syndrome Differentiation,deficiency-excess pattern identification,deficiency-excess syndrome differentiation/pattern identification,"categorization of pattern identification/syndrome differentiation in which the strength of the healthy qi and pathogenic qi are compared, thereby determining the nature of the disease",19,360.1014g
4956,虚证,虛證,xū zhèng,八纲辨证,deficiency pattern/ syndrome,deficiency pattern/syndrome,deficiency syndrome/pattern,"a general term for patterns/syndromes caused by deficiency of the healthy qi (including deficiency of yin, yang, qi and blood)",19,360.1014g
4957,阳损及阴证,陽損及陰證,yáng sǔn jí yīn zhèng,八纲辨证,pattern/syndrome of detriment to yang affecting yin,yang impairment affecting yin,syndrome/pattern of yang impairment affecting yin,"a pattern/syndrome arising when long-term debilitation of yang qi causes damage to yin, resulting in deficiency of both yin and yang, in which yang deficiency is primary while yin deficiency secondary",19,360.1014g
4958,阳虚寒凝证,陽虛寒凝證,yáng xū hán níng zhèng,八纲辨证,pattern/syndrome of yang deficiency with congealing cold,yang deficiency and congealing cold,syndrome/pattern of yang deficiency and congealing cold,"a pattern/syndrome marked by aversion to cold, cold limbs, pain in the chest, epigastrium, abdomen, waist and knees relieved by warmth, and in women, late periods, painful periods, menstrual discharge of dark blood and clots, pale and enlarged tongue with white slippery coating, and slow sunken pulse",19,360.1014g
4959,阳虚气滞证,陽虛氣滯證,yáng xū qì zhì zhèng,八纲辨证,pattern/syndrome of yang deficiency with qi stagnation,yang deficiency and qi stagnation,syndrome/pattern of yang deficiency and qi stagnation,"a pattern/syndrome of qi stagnation arising from yang deficiency, manifested by aversion to cold, cold limbs, pale complexion, painful distention in the chest, epigastrium and abdomen, borborygmi, sloppy stools, long voidings of clear urine, pale and enlarged tongue, and slow, sunken and weak pulse",19,360.1014g
4960,阳虚湿阻证,陽虛濕阻證,yáng xū shī zǔ zhèng,八纲辨证,pattern/syndrome of yang deficiency with dampness obstruction,yang deficiency and dampness obstruction,syndrome/pattern of yang deficiency and dampness obstruction,"a pattern/syndrome of dampness obstruction attributed to insufficient yang qi with disordered qi transformation, manifested by aversion to cold, cumbersome limbs, edema, inhibited urine, sloppy stool, reduced food intake and abdominal distension,",19,360.1014g
4961,阳虚水泛证,陽虛水泛證,yáng xū shuǐ fàn zhèng,八纲辨证,pattern/syndrome of yang deficiency with water flood,yang deficiency and water diffusion,syndrome/pattern of yang deficiency and water diffusion,"a pattern/syndrome arising when yang deficiency of the spleen and kidney leads to retention of water in the body, usually manifested by generalized edema, inhibited urine, palpitation, dyspnea, aversion to cold with cold limbs, abdominal distension, soggy diarrhea, pale and plump tongue with white slippery coating, and slow, sunken and weak pulse",19,360.1014g
4962,阳虚痰凝证,陽虛痰凝證,yáng xū tán níng zhèng,八纲辨证,pattern/syndrome of yang deficiency with congealing phlegm,yang deficiency and phlegm coagulation,syndrome/pattern of yang deficiency and phlegm coagulation,"a pattern/syndrome of insufficient yang qi complicated with congealing phlegm, manifested by aversion to cold, cold limbs, dizziness, somnolence, oppression in the chest with profuse phlegm, obesity, or goiter, swollen inflamed lymph glands, breast nodules, swollen and stiff joints, slimy tongue coating and slippery pulse",19,360.1014g
4963,阳虚外感证,陽虛外感證,yáng xū wài gǎn zhèng,八纲辨证,0,yang deficiency and external contraction,syndrome/pattern of yang deficiency and external contraction,0,19,360.1014g
4964,阳虚证,陽虛證,yáng xū zhèng,八纲辨证,yang deficiency pattern/syndrome,yang deficiency,yang deficiency syndrome/ pattern,"a pattern/syndrome resulting from deficiency of yang qi with reduction in its warming and activating power, manifested by intolerance of cold, cold extremities, spontaneous sweating, loose bowel, long voidings of clear urine, pale tongue, and deep and weak pulse; in Kampo medicine, it is understood as “yang pattern in combination with excess pattern”",19,360.1014g
4965,阳证,陽證,yáng zhèng,八纲辨证,yang pattern/ syndrome,yang pattern/syndrome,yang syndrome/pattern,"a collective term for exterior, heat and excess patterns/ syndromes with excitatory, hyperfunctional, restless or bright manifestations, or outward and upward symptoms, as well as morbid conditions caused by pathogenic factors of yang nature",19,360.1014g
4966,阴竭阳脱证,陰竭陽脫證,yīn jié yáng tuō zhèng,八纲辨证,pattern/syndrome of yin exhaustion and yang collapse,yin exhaustion and yang desertion,syndrome/pattern of yin exhaustion and yang collapse,a critical pattern/syndrome of yin-essence exhaustion followed by yang collapse,19,360.1014g
4967,阴盛格阳证,陰盛格陽證,yīn shèng gé yáng zhèng,八纲辨证,pattern/syndrome of exuberant yin repelling yang,exuberant yin repelling yang,syndrome/pattern of exuberant yin repelling yang,"a pattern/syndrome in which exuberant internal cold forces yang qi to the outer body, giving rise to signs of true internal cold and false external heat",19,360.1014g
4968,阴损及阳证,陰損及陽證,yīn sǔn jí yáng zhèng,八纲辨证,pattern/syndrome of detriment to yin affecting yang,yin impairment affecting yang,syndrome/pattern of yin impairment affecting yang,"a pattern/syndrome arising when long-term depletion of yin fluid causes damage to yang, resulting in deficiency of both yin and yang, in which yin deficiency is primary while yang deficiency secondary",19,360.1014g
4969,阴虚鼻窍失濡证,陰虛鼻竅失濡證,yīn xū bí qiào shī rú zhèng,八纲辨证,0,yin deficiency with loss of nasal moisture,0,0,19,360.1014g
4970,阴虚动血证,陰虛動血證,yīn xū dòng xuè zhèng,八纲辨证,0,yin deficiency and bleeding,syndrome/pattern of yin deficiency and bleeding,0,19,360.1014g
4971,阴虚火旺证,陰虛火旺證,yīn xū huǒ wàng zhèng,八纲辨证,pattern/syndrome of yin deficiency with effulgent fire,vigorous fire due to yin deficiency,syndrome/pattern of yin deficiency and effulgent fire,"a pattern/syndrome of effulgent fire arising from yin fluid deficiency, manifested by vexation, insomnia, dry throat and mouth, night sweating, nocturnal emission flushed cheeks, bone-steaming tidal fever, dry and bound stool, short voidings of yellow urine, or hemoptysis, epistaxis, reddened tongue lacking moisture, or ulceration on the tongue and rapid fine pulse",19,360.1014g
4972,阴虚津亏证,陰虛津虧證,yīn xū jīn kuī zhèng,八纲辨证,pattern/syndrome of yin deficiency with fluid depletion,yin deficiency and fluid inadequacy,syndrome/pattern of yin deficiency and fluid inadequacy,"a pattern/syndrome of yin fluid deficiency, manifested by dire thirst, dry skin, sunken eyes, short voidings of yellow urine, dry and bound stool, vexing heat in the chest, palms and soles, emaciation, night sweats, reddened tongue with scanty coating and rapid fine pulse",19,360.1014g
4973,阴虚内热证,陰虛內熱證,yīn xū nèi rè zhèng,八纲辨证,pattern/syndrome of yin deficiency with internal heat,yin deficiency and internal heat,syndrome/pattern of yin deficiency and internal heat,"a pattern/syndrome resulting from deficiency of yin fluid with endogenous heat, usually manifested by persistent low fever or afternoon tidal fever, heat sensation in the chest, palms and soles, malar flush, night sweats, dry mouth with desire for drink, short voidings of dark-colored urine, constipation, reddened tongue lacking moisture and rapid fine pulse",19,360.1014g
4974,阴虚湿热证,陰虛濕熱證,yīn xū shī rè zhèng,八纲辨证,pattern/syndrome of yin deficiency and dampness-heat,yin deficiency and damp-heat,syndrome/pattern of yin deficiency and dampness-heat,"a pattern/syndrome of yin-fluid deficiency complicated with dampness-heat obstruction, manifested by low fever, night sweating, flushed cheeks in the afternoon, vexing heat in the chest, palms and soles, bitter and greasy taste in the mouth, cumbersome limbs, reddened tongue with yellow slimy coating, and rapid fine pulse",19,360.1014g
4975,阴虚水停证,陰虛水停證,yīn xū shuǐ tíng zhèng,八纲辨证,pattern/syndrome of yin deficiency with water retention,yin deficiency and water retention,syndrome/pattern of yin deficiency and water retention,"a pattern/syndrome of yin fluid deficiency complicated with retention of water, manifested by localized edema of limbs, reduced passage of urine, dry throat and mouth, vexing heat in the chest, palms and soles, constipation, reddened tongue with scanty coating and rapid fine pulse",19,360.1014g
4976,阴虚外感证,陰虛外感證,yīn xū wài gǎn zhèng,八纲辨证,0,yin deficiency and external contraction,syndrome/pattern of yin deficiency and external contraction,0,19,360.1014g
4977,阴虚血瘀证,陰虛血瘀證,yīn xū xuè yū zhèng,八纲辨证,pattern/syndrome of yin deficiency and blood stasis,yin deficiency and blood stasis,syndrome/pattern of yin deficiency and blood stasis,"a pattern/syndrome of yin fluid deficiency complicated with blood stasis, manifested by vexing heat in the chest, palms and soles, dry throat and mouth, low fever in the afternoon, local stabbing pain, expectoration of dark blood with clots, purple spots on the tongue, and fine rough (choppy) pulse",19,360.1014g
4978,阴虚阳亢证,陰虛陽亢證,yīn xū yáng kàng zhèng,八纲辨证,pattern/syndrome of yin deficiency with yang hyperactivity,yin deficiency and yang hyperactivity,syndrome/pattern of yin deficiency and yang hyperactivity,"a pattern/syndrome of yin fluid deficiency with yang hyperactivity, marked by tidal fever, night sweating, flushed cheeks, dizziness, blurred vision, agitation, insomnia, reddened tongue with scanty coating and rapid fine pulse",19,360.1014g
4979,阴虚证,陰虛證,yīn xū zhèng,八纲辨证,yin deficiency pattern/ syndrome,yin deficiency,yin deficiency syndrome/ pattern,"a pattern/syndrome resulting from deficiency of yin fluid and essence, incapable of restraining yang and usually manifested by emaciation, dizziness, tinnitus, dryness of the mouth and throat, constipation, dark-colored urine, afternoon fever, malar flush, night sweats, reddened tongue with scanty coating and rapid fine pulse; in Kampo medicine, it is understood as “yin pattern in combination with deficiency pattern”",19,360.1014g
4980,阴血亏虚证,陰血虧虛證,yīn xuè kuī xū zhèng,八纲辨证,yin-blood depletion pattern/syndrome,yin-blood depletion,syndrome/pattern of yin-blood deficiency,"a pattern/syndrome marked by emaciation, sallow complexion, low fever, flushed cheeks, numb limbs, dizziness, blurred vision, palpitations, insomnia, reddened tongue with scanty coating and rapid fine pulse",19,360.1014g
4981,阴阳辨证,陰陽辨證,yīn yáng biàn zhèng,八纲辨证,Yin-Yang Pattern Identification/ Syndrome Differentiation,yin-yang pattern differentiation,yin-yang syndrome differentiation/pattern identification,"categorization of patterns/syndromes according to yin-yang theory, e.g., interior, cold, and deficiency patterns/syndromes pertaining to yin, and exterior, heat, and excess patterns/syndromes pertaining to yang",19,360.1014g
4982,阴阳两虚证,陰陽兩虛證,yīn yáng liǎng xū zhèng,八纲辨证,pattern/syndrome of dual deficiency of yin and yang,yin and yang deficiency,syndrome/pattern of both yin and yang deficiency,"a pattern/syndrome resulting from deficiency of both yin fluid and yang qi of the bowels and viscera, usually manifested as dizziness, tinnitus, lassitude, aversion to cold with cold limbs or vexing heat in the chest, palms or soles, palpitations, lumbar soreness, pale and dry tongue, and rapid weak pulse",19,360.1014g
4983,阴证,陰證,yīn zhèng,八纲辨证,yin pattern/syndrome,yin pattern/syndrome,yin syndrome/pattern,"a collective term for interior, cold and deficiency patterns/syndromes with inhibitory, hypofunctional, quiescent or dimmed manifestations, or inward and downward symptoms, as well as morbid conditions caused by pathogenic factors of yin nature",19,360.1014g
4984,真寒假热证,真寒假熱證,zhēn hán jià rè zhèng,八纲辨证,0,true cold with false heat,syndrome/pattern of true cold with false heat,0,19,360.1014g
4985,真热假寒证,真熱假寒證,zhēn rè jiǎ hán zhèng,八纲辨证,0,true heat with false cold,syndrome/pattern of true heat with false cold,0,19,360.1014g
4986,真实假虚证,真實假虛證,zhēn shí jiǎ xū zhèng,八纲辨证,0,true excess with false deficiency,syndrome/pattern of true excess with false deficiency,0,19,360.1014g
4987,真虚假实证,真虛假實證,zhēn xū jiǎ shí zhèng,八纲辨证,0,true deficiency with false excess,syndrome/pattern of true deficiency with false excess,0,19,360.1014g
4988,证候错杂,證候錯雜,zhèng hòu cuò zá,八纲辨证,0,manifestation of intermingling patterns,intermingling syndrome/ pattern manifestation,0,19,360.1014g
4989,证候相兼,證候相兼,zhèng hòu xiāng jiān,八纲辨证,0,concurrent pattern manifestation,concurrent syndrome/ pattern manifestation,0,19,360.1014g
4990,证候真假,證候真假,zhèng hòu zhēn jiǎ,八纲辨证,0,true-false manifestations of patterns,true-false of syndrome/ pattern manifestation,0,19,360.1014g
4991,阴虚鼻窍失濡证,陰虛鼻竅失濡證,yīn xū bí qiào shī rú   zhèng,八纲辨证,0,0,syndrome/pattern of yin deficiency and unmoistened nose,0,19,360.1014g
4992,表寒里热证;外寒里热证,表寒裏熱證;外寒裏熱證,biǎo hán lǐ rè zhèng ;  wài hán lǐ rè zhèng,八纲辨证,pattern/syndrome of exterior cold and interior heat,0,0,"(1) a pattern/syndrome in which cold pathogen fetters the exterior and depressed heat stays in the interior, mainly manifested by fever without sweat and with aversion to cold, headache and generalized pain, vexation, shortness of breath, fullness of the chest, thirst, reddened tongue with mixed yellow and white coating, and floating tight pulse; (2) a pattern/ syndrome marked by true heat in the interior with external pseudo-cold manifestations",19,360.1014g
4993,表寒证;风寒束表证,表寒證;風寒束表證,biǎo hán zhèng ; fēng hán   shù biǎo zhèng,八纲辨证,exterior cold pattern/ syndrome,0,0,"a pattern/syndrome arising when wind-cold invades the exterior and characterized by pronounced aversion to cold with mild fever, headache, generalized pain, absence of sweating, thin white tongue coating, and tight floating pulse, the same as the pattern/syndrome of wind-cold fettering the exterior",19,360.1014g
4994,表热证;风热犯表证;风热袭表证,表熱證;風熱犯表證;風熱襲表證,biǎo rè zhèng ;  fēng rè fàn biǎo zhèng ;  fēng rè xí biǎo zhèng,八纲辨证,exterior heat pattern/ syndrome,0,0,"a pattern/syndrome arising when wind-heat invades the exterior and characterized by marked fever with mild aversion to wind and cold, headache, sore throat, sweating and thirst, thin yellow tongue coating and rapid floating pulse, the same as the pattern/ syndrome of wind-heat invading the exterior",19,360.1014g
4995,寒热错杂证,寒熱錯雜證,hán rè cuò zá zhèng,八纲辨证,cold-heat complex pattern/syndrome,0,0,"any pattern/syndrome characterized by complicated heat and cold conditions such as heat in the upper part with cold in the lower part of the body, cold in the upper part with heat in lower part of the body, heat in the exterior and cold in the interior of the body, or cold in the exterior and heat in the interior of the body",19,360.1014g
4996,清阳不升证,清陽不升證,qīng yáng bù shēng zhèng,八纲辨证,pattern/syndrome of clear yang failing to ascend,0,0,"a pattern/syndrome marked by dizziness, blurred vision, tinnitus and impaired hearing, aversion to cold with lack of warmth in the extremities, lassitude and lack of strength, anorexia, sloppy stool, pale tongue with white coating, and relaxed weak pulse",19,360.1014g
4997,热闭证,熱閉證,rè bì zhèng,八纲辨证,heat block pattern/ syndrome,0,0,"a pattern/syndrome that arises when a heat pathogen congests in the bowels, viscera and meridians/ channels, blocking normal movement out of the body",19,360.1014g
4998,热极生风证;热极动风证,熱極生風證;熱極動風證,rè jí shēng fēng zhèng ;  rè jí dòng fēng zhèng,八纲辨证,pattern/syndrome of extreme heat engendering wind,0,0,"a liver wind pattern/syndrome attributed to exuberant pathogenic heat, and marked by high fever with restlessness, convulsions, opisthotonos, and impaired consciousness",19,360.1014g
4999,伤阳证,傷陽證,shāng yáng zhèng,八纲辨证,yang damage pattern/syndrome,0,0,"a pattern/syndrome characterized by damage to yang resulting from various causes such as exuberance of yin-cold in the interior, excessive use of cold-natured medicinals, excessive sweating or diarrhea, usually manifested as fear of cold, pale complexion, spontaneous sweating, cold extremities and faint or even hardly perceptible pulse",19,360.1014g
5000,伤阴证,傷陰證,shāng yīn zhèng,八纲辨证,yin damage pattern/ syndrome,0,0,"a pattern/syndrome characterized by damage to yin, often resulting from invasion of heat pathogen or in advanced cases of febrile disease with impairment of the liver and kidney yin, usually manifested as low fever, heat sensation in the palms and soles, emaciation, thirst, malar flush, dry and scarlet red tongue, and fine, feeble and rapid pulse",19,360.1014g
5001,上盛下虚证,上盛下虛證,shàng shèng xià xū zhèng,八纲辨证,upper exuberance and lower deficiency pattern/syndrome,0,0,"a pattern/syndrome marked by yin deficiency of the liver and kidney in the lower part of the body together with accumulation of qi, static blood or phlegm in the upper part of the body, the same as the excess above and deficiency below pattern/syndrome",19,360.1014g
5002,亡阳证;阳脱证,亡陽證;陽脫證,wáng yáng zhèng ;  yáng tuō zhèng,八纲辨证,yang collapse pattern/syndrome,0,0,"a serious pattern/syndrome resulting from exhaustion of yang qi, manifested by pallor, dripping of cold sweats, cold limbs, pale and moistened tongue, and hardly perceptible pulse",19,360.1014g
5003,虚寒证,虛寒證,xū hán zhèng,八纲辨证,deficiency cold pattern/syndrome,0,0,"a cold pattern/syndrome arising from deficiency of yang qi, the same as the yang deficiency pattern/ syndrome",19,360.1014g
5004,虚热证,虛熱證,xū rè zhèng,八纲辨证,deficiency heat pattern/syndrome,0,0,"a heat pattern/syndrome caused by deficiency of yin, qi, blood or fluids",19,360.1014g
5005,虚实挟杂证,虛實挾雜證,xū shí xié zá zhèng,八纲辨证,deficiency- excess complex pattern/ syndrome,0,0,a pattern/syndrome arising from struggle between the healthy and pathogenic qi while excessive pathogens and insufficient healthy qi exist simultaneously,19,360.1014g
5006,阴盛阳衰证,陰盛陽衰證,yīn shèng yáng shuāi zhèng,八纲辨证,pattern/syndrome of yin exuberance with yang debilitation,0,0,"a pattern/syndrome arising when exuberant yin cold leads to debilitation of yang qi, manifested by aversion to cold, cold limbs, long voidings of clear urine, diarrhea, or cold pain with preference for warmth, pale tongue with white coating, and slow sunken pulse",19,360.1014g
5007,阴阳失调证,陰陽失調證,yīn yáng shī tiáo zhèng,八纲辨证,pattern/syndrome of yin-yang disharmony,0,0,any pattern/syndrome in which yin and yang are out of balance,19,360.1014g
5008,真寒假热证,眞寒假熱證,zhēn hán jià rè zhèng,八纲辨证,true cold with false heat pattern/ syndrome,0,0,"a pattern/syndrome arising when exuberant internal cold forces yang qi to outer body, manifested by subjective feverishness, flushing face, agitation, thirst and sore throat occurring simultaneously with coolness of the chest and abdomen to touch, reversal cold of the limbs, long voidings of clear urine, diarrhea with undigested food, and pale tongue with white coating and sunken string-like pulse",19,360.1014g
5009,真热假寒证,眞熱假寒證,zhēn rè jiǎ hán zhèng,八纲辨证,true heat with false cold pattern/ syndrome,0,0,"a pattern/syndrome arising when exuberant pathogenic heat entraps yang qi in the interior, manifested by cold limbs, aversion to cold or even shivering, impaired consciousness, dark purple complexion, but on the other hand, high fever with the chest and abdomen hot to touch and hot breath exhaled from the mouth and nose, fetid mouth odor, coarse breathing, strong thirst, short voidings of yellow urine, reddened tongue with yellow dry coating and rapid string-like pulse",19,360.1014g
5010,真实假虚证,眞實假虛證,zhēn shí jiǎ xū zhèng,八纲辨证,true excess with false deficiency pattern/ syndrome,0,0,any pattern/syndrome excess in nature showing some deceptive symptoms of deficiency,19,360.1014g
5011,真虚假实证,眞虛假實證,zhēn xū jiǎ shí zhèng,八纲辨证,true deficiency with false excess pattern/ syndrome,0,0,any pattern/syndrome deficient in nature showing some deceptive symptoms of excess,19,360.1014g
5012,头风,頭風,tóu fēng,病因辨证,0,head wind,recurrent headache,0,20,360.1014h
5013,病因辨证,病因辨證,bìng yīn biàn zhèng,病因辨证,disease cause pattern identification/ syndrome differentiation,pattern identification/differentiation based on etiology,disease cause syndrome differentiation/pattern identification,categorization of patterns/syndromes according to pathological conditions attributable to different kinds of causal factors for making diagnosis,20,360.1014h
5014,虫积化疳证,蟲積化疳證,chóng jī huà gān zhèng,病因辨证,pattern/syndrome of worm accumulation transforming into malnutrition,worm accumulation and malnutrition,syndrome/pattern of worm accumulation and malnutrition,"a pattern/syndrome that arises when intestinal parasites deprive the eyes of nourishment, and that manifests in impaired vision, night blindness, dryness of the eyes and photophobia",20,360.1014h
5015,虫积证,蟲積證,chóng jī zhèng,病因辨证,worm accumulation pattern/syndrome,worm accumulation syndrome,worm accumulation syndrome/pattern,"a general term for patterns/syndromes caused by intestinal accumulation of parasitic worms, often marked by abdominal distention or pain, emaciation, lack of strength and sallow complexion",20,360.1014h
5016,毒火攻唇证,毒火攻唇證,dú huǒ gōng chún zhèng,病因辨证,0,toxic fire attacking the lips,syndrome/pattern of toxic fire attacking lip,0,20,360.1014h
5017,毒证,毒證,dú zhèng,病因辨证,0,toxin syndrome,toxin syndrome/pattern,0,20,360.1014h
5018,风毒证,風毒證,fēng dú zhèng,病因辨证,wind-toxin pattern/ syndrome,wind-toxin syndrome,wind-toxin syndrome/ pattern,"a pattern/syndrome due to wind-toxin attack on the skin and flesh, marked by sudden onset of edema, with numbness, itching and pain, or appearance of wheals, redness and swelling of face, eyes, nose and mouth",20,360.1014h
5019,风寒犯鼻证,風寒犯鼻證,fēng hán fàn bí zhèng,病因辨证,pattern/syndrome of wind-cold invading the nose,wind-cold invading the nose,syndrome/pattern of wind-cold invading nose,"a pattern/syndrome marked by stuffy runny nose or nasal itching with sneezing, pale mucous membrane of the nose with thin clear secretion, associated with aversion to wind and cold, thin white tongue coating and floating tight pulse",20,360.1014h
5020,风寒犯头证,風寒犯頭證,fēng hán fàn tóu zhèng,病因辨证,pattern/syndrome of wind-cold invading the head,wind-cold invading the head,syndrome/pattern of wind-cold invading head,"a pattern/syndrome marked by headache with pain of the nape and back, aggravated by wind and cold, thin white tongue coating and floating tight pulse",20,360.1014h
5021,风寒袭喉证,風寒襲喉證,fēng hán xí hóu zhèng,病因辨证,pattern/syndrome of wind-cold assailing the throat,wind-cold attacking the throat,syndrome/pattern of wind-cold attacking throat,"a pattern/syndrome marked by painful, itchy and slightly swollen throat dark red in color associated with hoarseness, fever, aversion to cold, absence of sweat, stuffy nose and floating tight pulse",20,360.1014h
5022,风寒袭络证,風寒襲絡證,fēng hán xí luò zhèng,病因辨证,pattern/syndrome of wind-cold assailing the collaterals,wind-cold attacking the channels and collaterals,syndrome/pattern of wind-cold attacking channel and collateral,"a pattern/syndrome marked by aversion to cold, pain and cold feeling of the limbs with contracture or numbness and purple or pale discoloration of the skin, white tongue coating and string-like tight pulse",20,360.1014h
5023,风火攻目证,風火攻目證,fēng huǒ gōng mù zhèng,病因辨证,pattern/syndrome of wind-fire attacking the eyes,wind-fire attacking the eyes,syndrome/pattern of wind-fire attacking eye,"a pattern/syndrome marked by reddened, swollen and painful eye and lacrimination associated with fever, aversion to wind and floating rapid pulse",20,360.1014h
5024,风火热毒证,風火熱毒證,fēng huǒ rè dú zhèng,病因辨证,wind-fire-heat toxin pattern/syndrome,wind-fire heat toxin pattern,wind-fire-heat-toxin syndrome/pattern,"a pattern/syndrome due to accumulation of wind-fire-heat toxin in the skin and flesh, marked by formation of boils, abscess or carbuncle accompanied by itching, numbness and scorching pain or suppuration and ulceration accompanied by high fever, crimson tongue with brownish yellow coating and rapid surging pulse",20,360.1014h
5025,风热犯鼻证,風熱犯鼻證,fēng rè fàn bí zhèng,病因辨证,pattern/syndrome of wind-heat invading the nose,wind-heat invading the nose,syndrome/pattern of wind-heat invading nose,"a pattern/syndrome marked by nasal obstruction and discharge, swollen conchae and congested mucous membrane with thick secretion, impairment of the sense of smell, associated with fever and slight aversion to wind and cold, thin yellow tongue coating and floating rapid pulse",20,360.1014h
5026,风热犯耳证,風熱犯耳證,fēng rè fàn ěr zhèng,病因辨证,pattern/syndrome of wind-heat invading the ear,wind-heat invading the ears,syndrome/pattern of wind-heat invading ear,"a pattern/syndrome marked by distension and obstruction in the ear, congestion of the tympanic membrane or a feeling of pressure in the ear, associated with tinnitus, headache, fever with slight aversion to wind and cold, thin yellow tongue coating and rapid floating pulse",20,360.1014h
5027,风热犯头证,風熱犯頭證,fēng rè fàn tóu zhèng,病因辨证,pattern/syndrome wind-heat invading the head,wind-heat invading the head,syndrome/pattern of wind-heat invading head,"a pattern/syndrome marked by headache with a distention sensation, fever or aversion to wind, thirst, flushing of face, reddened tongue tip and edges, thin and yellowish tongue coating, and rapid floating pulse",20,360.1014h
5028,风热侵喉证,風熱侵喉證,fēng rè qīn hóu zhèng,病因辨证,pattern/syndrome of wind-heat invading the throat,wind-heat invading the throat,syndrome/pattern of wind-heat invading throat,"a pattern/syndrome marked by painful swollen throat or enlarged congested tonsils, with discomfort in swallowing and hoarseness of voice, fever, slight aversion to wind and cold, mild thirst, thin yellow tongue coating and rapid floating pulse",20,360.1014h
5029,风热疫毒证,風熱疫毒證,fēng rè yì dú zhèng,病因辨证,pattern/syndrome of wind-heat with epidemic toxin,wind-heat and epidemic toxin,syndrome/pattern of wind-heat and epidemic toxin,"a pattern/syndrome marked by chills and fever, redness and swelling of the head and face, painful swollen throat, skin eruption, agitation, thirst, headache, nausea, crimson tongue and rapid surging pulse",20,360.1014h
5030,风胜行痹证,風勝行痹證,fēng shèng xíng bì zhèng,病因辨证,pattern/syndrome of wind-prevailing migratory arthralgia,wind-prevalent migratory bì,syndrome/pattern of wind-prevailing migratory arthralgia,"a pattern/syndrome attributed to stagnation of pathogenic wind-cold-dampness (with predominance of wind) in sinews, bones and joints, and manifested by wandering arthralgia with inhibited movement of the joint, thin white tongue coating and floating pulse",20,360.1014h
5031,风湿犯头证,風濕犯頭證,fēng shī fàn tóu zhèng,病因辨证,pattern/syndrome of wind-dampness invading the head,wind-damp invading the head,syndrome/pattern of wind-dampness invading head,"a pattern/syndrome marked by headache as if the head were tightly swathed, slight aversion to wind and cold, heaviness feeling of the body and limbs, stuffiness sensation in the chest, anorexia, white slippery tongue coating and soggy pulse",20,360.1014h
5032,风湿凌目证,風濕淩目證,fēng shī líng mù zhèng,病因辨证,pattern/syndrome of wind-dampness insulting the eyes,wind-damp invading the eyes,syndrome/pattern of wind-dampness invading eye,"a pattern/syndrome marked by swelling of the eyelid, reddened and itchy eye with lacrimination, and photophobia",20,360.1014h
